Start Time,End Time,EW,WE,NS,SN
00:44:20,00:44:40,9,9,9,8
00:44:40,00:45:00,1,3,9,3
00:45:00,00:45:20,3,1,2,3
00:45:20,00:45:40,7,4,7,2
00:45:40,00:46:00,2,9,7,8
00:46:00,00:46:20,6,3,1,1
00:46:20,00:46:40,1,8,6,8
00:46:40,00:47:00,8,6,2,9
00:47:00,00:47:20,6,2,2,0
00:47:20,00:47:40,2,1,6,1
00:47:40,00:48:00,4,6,6,5
00:48:00,00:48:20,0,9,7,8
00:48:20,00:48:40,1,8,3,4
00:48:40,00:49:00,5,2,2,1
00:49:00,00:49:20,2,6,8,8
00:49:20,00:49:40,3,3,3,2
00:49:40,00:50:00,7,3,7,1
00:50:00,00:50:20,8,3,0,3
00:50:20,00:50:40,4,1,6,5
00:50:40,00:51:00,9,5,9,1
00:51:00,00:51:20,4,8,2,5
00:51:20,00:51:40,8,6,6,4
00:51:40,00:52:00,6,6,0,3
00:52:00,00:52:20,7,0,2,6
00:52:20,00:52:40,6,1,8,5
00:52:40,00:53:00,9,5,4,2
00:53:00,00:53:20,3,6,4,5
00:53:20,00:53:40,3,1,6,6
00:53:40,00:54:00,5,4,4,9
00:54:00,00:54:20,7,0,3,4
00:54:20,00:54:40,9,1,4,5
00:54:40,00:55:00,5,7,6,9
00:55:00,00:55:20,7,7,4,4
00:55:20,00:55:40,9,2,6,0
00:55:40,00:56:00,6,6,1,4
00:56:00,00:56:20,8,0,8,9
00:56:20,00:56:40,7,2,0,3
00:56:40,00:57:00,5,0,7,1
00:57:00,00:57:20,2,5,1,9
00:57:20,00:57:40,7,7,7,8
00:57:40,00:58:00,4,2,8,6
00:58:00,00:58:20,7,8,5,2
00:58:20,00:58:40,4,1,6,2
00:58:40,00:59:00,2,8,4,7
00:59:00,00:59:20,5,5,8,0
00:59:20,00:59:40,5,3,3,8
00:59:40,01:00:00,9,7,8,5
01:00:00,01:00:20,6,8,0,2
01:00:20,01:00:40,8,4,2,9
01:00:40,01:01:00,7,4,3,2
01:01:00,01:01:20,1,4,7,1
01:01:20,01:01:40,5,1,1,9
01:01:40,01:02:00,2,0,3,9
01:02:00,01:02:20,8,3,2,2
01:02:20,01:02:40,1,2,4,4
01:02:40,01:03:00,5,3,6,0
01:03:00,01:03:20,6,5,3,8
01:03:20,01:03:40,1,2,3,9
01:03:40,01:04:00,8,6,5,3
01:04:00,01:04:20,6,7,7,6
01:04:20,01:04:40,3,0,7,4
01:04:40,01:05:00,2,7,1,5
01:05:00,01:05:20,1,7,3,3
01:05:20,01:05:40,7,0,2,9
01:05:40,01:06:00,0,1,8,4
01:06:00,01:06:20,2,8,0,3
01:06:20,01:06:40,3,9,3,3
01:06:40,01:07:00,9,3,9,4
01:07:00,01:07:20,8,1,2,6
01:07:20,01:07:40,1,0,2,1
01:07:40,01:08:00,0,7,7,9
01:08:00,01:08:20,4,8,2,0
01:08:20,01:08:40,8,2,4,2
01:08:40,01:09:00,7,0,2,0
01:09:00,01:09:20,8,9,2,6
01:09:20,01:09:40,6,8,2,7
01:09:40,01:10:00,3,4,2,1
01:10:00,01:10:20,4,4,1,7
01:10:20,01:10:40,3,8,3,5
01:10:40,01:11:00,4,2,6,7
01:11:00,01:11:20,3,8,3,9
01:11:20,01:11:40,8,5,0,8
01:11:40,01:12:00,2,1,2,7
01:12:00,01:12:20,2,7,2,9
01:12:20,01:12:40,1,5,2,0
01:12:40,01:13:00,5,1,6,7
01:13:00,01:13:20,6,5,8,9
01:13:20,01:13:40,2,7,7,4
01:13:40,01:14:00,5,8,8,0
01:14:00,01:14:20,0,5,0,5
01:14:20,01:14:40,2,1,1,8
01:14:40,01:15:00,4,0,6,6
01:15:00,01:15:20,4,2,8,2
01:15:20,01:15:40,6,8,6,6
01:15:40,01:16:00,0,0,1,2
01:16:00,01:16:20,7,6,4,9
01:16:20,01:16:40,5,3,5,9
01:16:40,01:17:00,2,8,2,0
01:17:00,01:17:20,0,7,0,6
01:17:20,01:17:40,3,6,4,1
01:17:40,01:18:00,5,3,8,5
01:18:00,01:18:20,1,1,2,9
01:18:20,01:18:40,3,1,7,1
01:18:40,01:19:00,6,9,9,8
01:19:00,01:19:20,5,9,8,8
01:19:20,01:19:40,7,2,9,7
01:19:40,01:20:00,1,8,5,8
01:20:00,01:20:20,8,2,5,7
01:20:20,01:20:40,9,4,3,7
01:20:40,01:21:00,3,3,5,9
01:21:00,01:21:20,8,8,8,9
01:21:20,01:21:40,4,0,3,8
01:21:40,01:22:00,3,6,3,8
01:22:00,01:22:20,3,1,8,5
01:22:20,01:22:40,8,6,3,7
01:22:40,01:23:00,3,3,6,9
01:23:00,01:23:20,0,6,6,1
01:23:20,01:23:40,5,0,0,6
01:23:40,01:24:00,0,2,8,1
01:24:00,01:24:20,8,4,5,6
01:24:20,01:24:40,8,6,7,8
01:24:40,01:25:00,5,5,8,3
01:25:00,01:25:20,5,2,1,4
01:25:20,01:25:40,6,7,7,2
01:25:40,01:26:00,6,3,9,4
01:26:00,01:26:20,0,5,6,8
01:26:20,01:26:40,5,7,3,8
01:26:40,01:27:00,4,6,9,6
01:27:00,01:27:20,2,6,6,9
01:27:20,01:27:40,4,2,5,6
01:27:40,01:28:00,6,9,2,1
01:28:00,01:28:20,7,0,6,0
01:28:20,01:28:40,5,6,8,4
01:28:40,01:29:00,8,4,6,0
01:29:00,01:29:20,1,8,7,1
01:29:20,01:29:40,1,5,0,6
01:29:40,01:30:00,4,5,7,0
01:30:00,01:30:20,1,9,5,4
01:30:20,01:30:40,7,5,1,9
01:30:40,01:31:00,3,0,1,3
01:31:00,01:31:20,9,9,3,5
01:31:20,01:31:40,3,4,9,6
01:31:40,01:32:00,8,7,7,5
01:32:00,01:32:20,7,1,9,1
01:32:20,01:32:40,8,3,1,3
01:32:40,01:33:00,9,0,3,7
01:33:00,01:33:20,2,0,4,2
01:33:20,01:33:40,2,8,4,9
01:33:40,01:34:00,8,7,3,6
01:34:00,01:34:20,5,8,1,1
01:34:20,01:34:40,5,9,7,2
01:34:40,01:35:00,0,6,0,7
01:35:00,01:35:20,5,8,2,4
01:35:20,01:35:40,8,8,3,2
01:35:40,01:36:00,6,9,7,7
01:36:00,01:36:20,9,3,2,6
01:36:20,01:36:40,1,0,6,7
01:36:40,01:37:00,4,4,6,3
01:37:00,01:37:20,3,4,3,6
01:37:20,01:37:40,7,6,3,7
01:37:40,01:38:00,3,3,0,4
01:38:00,01:38:20,4,9,3,6
01:38:20,01:38:40,3,5,7,7
01:38:40,01:39:00,1,7,0,3
01:39:00,01:39:20,6,2,5,3
01:39:20,01:39:40,6,0,4,1
01:39:40,01:40:00,5,5,8,0
01:40:00,01:40:20,4,6,0,4
01:40:20,01:40:40,2,7,9,2
01:40:40,01:41:00,8,2,0,5
01:41:00,01:41:20,2,2,5,1
01:41:20,01:41:40,1,1,8,6
01:41:40,01:42:00,3,8,0,8
01:42:00,01:42:20,6,1,1,3
01:42:20,01:42:40,6,8,0,1
01:42:40,01:43:00,0,7,0,0
01:43:00,01:43:20,5,4,3,8
01:43:20,01:43:40,0,7,5,9
01:43:40,01:44:00,4,3,4,0
01:44:00,01:44:20,1,9,2,4
01:44:20,01:44:40,4,8,2,8
01:44:40,01:45:00,1,6,8,0
01:45:00,01:45:20,5,7,0,0
01:45:20,01:45:40,9,2,9,2
01:45:40,01:46:00,9,0,1,0
01:46:00,01:46:20,4,3,8,4
01:46:20,01:46:40,9,5,4,9
01:46:40,01:47:00,8,4,8,9
01:47:00,01:47:20,7,6,6,7
01:47:20,01:47:40,1,0,5,9
01:47:40,01:48:00,2,5,3,5
01:48:00,01:48:20,8,9,4,6
01:48:20,01:48:40,8,8,5,7
01:48:40,01:49:00,4,0,8,9
01:49:00,01:49:20,2,5,2,3
01:49:20,01:49:40,4,7,1,2
01:49:40,01:50:00,7,3,0,1
01:50:00,01:50:20,8,5,2,6
01:50:20,01:50:40,0,4,5,3
01:50:40,01:51:00,6,9,9,6
01:51:00,01:51:20,9,6,4,2
01:51:20,01:51:40,3,7,8,6
01:51:40,01:52:00,3,7,9,1
01:52:00,01:52:20,4,8,6,9
01:52:20,01:52:40,0,5,0,4
01:52:40,01:53:00,3,3,1,1
01:53:00,01:53:20,0,7,3,9
01:53:20,01:53:40,3,7,1,5
01:53:40,01:54:00,1,1,3,9
01:54:00,01:54:20,4,7,2,6
01:54:20,01:54:40,7,1,8,4
01:54:40,01:55:00,2,5,6,0
01:55:00,01:55:20,2,3,6,0
01:55:20,01:55:40,6,9,2,0
01:55:40,01:56:00,7,4,9,8
01:56:00,01:56:20,0,8,6,5
01:56:20,01:56:40,0,3,6,9
01:56:40,01:57:00,8,9,5,3
01:57:00,01:57:20,0,1,3,8
01:57:20,01:57:40,8,6,1,0
01:57:40,01:58:00,7,7,4,9
01:58:00,01:58:20,8,4,7,1
01:58:20,01:58:40,1,5,2,6
01:58:40,01:59:00,6,3,4,7
01:59:00,01:59:20,7,6,9,9
01:59:20,01:59:40,8,2,6,5
01:59:40,02:00:00,3,3,7,0
02:00:00,02:00:20,7,8,8,0
02:00:20,02:00:40,9,5,5,7
02:00:40,02:01:00,0,0,8,2
02:01:00,02:01:20,4,6,7,4
02:01:20,02:01:40,1,8,7,1
02:01:40,02:02:00,7,7,5,5
02:02:00,02:02:20,4,4,5,8
02:02:20,02:02:40,6,5,0,8
02:02:40,02:03:00,8,5,2,3
02:03:00,02:03:20,5,4,4,7
02:03:20,02:03:40,2,1,5,9
02:03:40,02:04:00,5,6,3,5
02:04:00,02:04:20,3,6,8,4
02:04:20,02:04:40,9,1,6,8
02:04:40,02:05:00,7,5,8,4
02:05:00,02:05:20,4,5,7,2
02:05:20,02:05:40,4,7,7,1
02:05:40,02:06:00,8,8,0,7
02:06:00,02:06:20,3,9,5,4
02:06:20,02:06:40,8,9,4,6
02:06:40,02:07:00,3,6,4,1
02:07:00,02:07:20,3,1,8,8
02:07:20,02:07:40,0,1,2,5
02:07:40,02:08:00,1,9,7,0
02:08:00,02:08:20,8,4,0,1
02:08:20,02:08:40,3,4,8,5
02:08:40,02:09:00,8,1,3,1
02:09:00,02:09:20,3,5,1,5
02:09:20,02:09:40,8,5,4,3
02:09:40,02:10:00,0,2,5,6
02:10:00,02:10:20,1,5,6,8
02:10:20,02:10:40,4,4,7,8
02:10:40,02:11:00,3,8,6,2
02:11:00,02:11:20,3,3,0,5
02:11:20,02:11:40,4,0,9,3
02:11:40,02:12:00,3,8,2,5
02:12:00,02:12:20,3,0,1,8
02:12:20,02:12:40,6,7,8,3
02:12:40,02:13:00,5,8,6,2
02:13:00,02:13:20,7,1,5,9
02:13:20,02:13:40,0,0,2,1
02:13:40,02:14:00,8,6,0,2
02:14:00,02:14:20,2,9,2,2
02:14:20,02:14:40,7,1,8,4
02:14:40,02:15:00,6,0,2,8
02:15:00,02:15:20,2,2,2,0
02:15:20,02:15:40,7,7,9,5
02:15:40,02:16:00,0,7,8,4
02:16:00,02:16:20,4,9,7,9
02:16:20,02:16:40,8,7,6,2
02:16:40,02:17:00,1,9,1,2
02:17:00,02:17:20,2,5,6,3
02:17:20,02:17:40,7,2,9,8
02:17:40,02:18:00,5,1,8,3
02:18:00,02:18:20,0,3,2,2
02:18:20,02:18:40,3,4,1,5
02:18:40,02:19:00,5,8,5,0
02:19:00,02:19:20,7,8,9,7
02:19:20,02:19:40,0,6,6,6
02:19:40,02:20:00,8,1,9,9
02:20:00,02:20:20,1,2,3,4
02:20:20,02:20:40,3,3,5,1
02:20:40,02:21:00,1,1,3,1
02:21:00,02:21:20,4,1,0,5
02:21:20,02:21:40,4,2,5,5
02:21:40,02:22:00,7,7,2,3
02:22:00,02:22:20,4,8,4,4
02:22:20,02:22:40,4,5,0,0
02:22:40,02:23:00,8,6,3,3
02:23:00,02:23:20,0,7,0,1
02:23:20,02:23:40,2,0,5,0
02:23:40,02:24:00,7,2,2,7
02:24:00,02:24:20,1,3,6,6
02:24:20,02:24:40,4,1,7,4
02:24:40,02:25:00,9,6,8,1
02:25:00,02:25:20,9,5,1,0
02:25:20,02:25:40,2,0,7,1
02:25:40,02:26:00,4,4,2,4
02:26:00,02:26:20,1,7,4,6
02:26:20,02:26:40,1,4,7,2
02:26:40,02:27:00,0,7,3,3
02:27:00,02:27:20,5,1,3,3
02:27:20,02:27:40,1,2,7,3
02:27:40,02:28:00,3,7,8,0
02:28:00,02:28:20,1,6,5,6
02:28:20,02:28:40,8,3,0,6
02:28:40,02:29:00,9,7,4,6
02:29:00,02:29:20,3,9,1,8
02:29:20,02:29:40,4,2,3,7
02:29:40,02:30:00,8,8,7,0
02:30:00,02:30:20,2,5,7,0
02:30:20,02:30:40,1,3,0,0
02:30:40,02:31:00,9,0,1,4
02:31:00,02:31:20,9,6,0,0
02:31:20,02:31:40,0,1,4,0
02:31:40,02:32:00,3,5,9,9
02:32:00,02:32:20,0,4,0,9
02:32:20,02:32:40,6,5,5,8
02:32:40,02:33:00,9,8,4,5
02:33:00,02:33:20,0,4,0,0
02:33:20,02:33:40,2,0,5,3
02:33:40,02:34:00,0,5,8,2
02:34:00,02:34:20,7,4,5,5
02:34:20,02:34:40,6,7,1,1
02:34:40,02:35:00,1,7,0,7
02:35:00,02:35:20,1,8,1,9
02:35:20,02:35:40,8,0,0,5
02:35:40,02:36:00,8,0,5,4
02:36:00,02:36:20,3,7,2,6
02:36:20,02:36:40,3,1,4,7
02:36:40,02:37:00,7,1,6,2
02:37:00,02:37:20,4,4,8,3
02:37:20,02:37:40,0,8,8,5
02:37:40,02:38:00,3,2,8,1
02:38:00,02:38:20,0,2,0,7
02:38:20,02:38:40,0,0,3,8
02:38:40,02:39:00,9,1,1,4
02:39:00,02:39:20,1,4,2,9
02:39:20,02:39:40,8,3,6,9
02:39:40,02:40:00,2,8,0,2
02:40:00,02:40:20,4,7,0,4
02:40:20,02:40:40,6,1,5,2
02:40:40,02:41:00,9,2,7,3
02:41:00,02:41:20,8,4,5,5
02:41:20,02:41:40,5,5,8,2
02:41:40,02:42:00,4,6,4,3
02:42:00,02:42:20,2,1,8,7
02:42:20,02:42:40,2,8,4,2
02:42:40,02:43:00,4,5,7,3
02:43:00,02:43:20,0,5,8,5
02:43:20,02:43:40,9,4,8,7
02:43:40,02:44:00,2,8,5,4
02:44:00,02:44:20,9,2,3,3
02:44:20,02:44:40,4,5,0,0
02:44:40,02:45:00,6,7,8,4
02:45:00,02:45:20,9,0,1,0
02:45:20,02:45:40,3,4,7,7
02:45:40,02:46:00,5,0,3,3
02:46:00,02:46:20,1,4,7,6
02:46:20,02:46:40,1,7,4,2
02:46:40,02:47:00,2,2,4,9
02:47:00,02:47:20,8,5,1,3
02:47:20,02:47:40,1,7,3,0
02:47:40,02:48:00,5,2,2,5
02:48:00,02:48:20,0,8,1,9
02:48:20,02:48:40,5,8,6,5
02:48:40,02:49:00,7,3,2,2
02:49:00,02:49:20,2,3,0,4
02:49:20,02:49:40,3,7,2,8
02:49:40,02:50:00,7,3,7,0
02:50:00,02:50:20,5,4,5,3
02:50:20,02:50:40,2,5,5,1
02:50:40,02:51:00,2,2,1,6
02:51:00,02:51:20,1,2,0,6
02:51:20,02:51:40,0,3,9,7
02:51:40,02:52:00,5,8,0,9
02:52:00,02:52:20,7,7,0,0
02:52:20,02:52:40,6,0,2,8
02:52:40,02:53:00,2,3,8,4
02:53:00,02:53:20,2,1,8,6
02:53:20,02:53:40,0,5,3,5
02:53:40,02:54:00,2,4,4,2
02:54:00,02:54:20,6,3,5,4
02:54:20,02:54:40,2,7,3,9
02:54:40,02:55:00,2,9,5,5
02:55:00,02:55:20,8,9,3,4
02:55:20,02:55:40,4,2,2,4
02:55:40,02:56:00,6,5,2,4
02:56:00,02:56:20,2,0,0,1
02:56:20,02:56:40,7,3,2,9
02:56:40,02:57:00,0,1,7,6
02:57:00,02:57:20,4,6,0,9
02:57:20,02:57:40,2,9,2,9
02:57:40,02:58:00,9,8,8,3
02:58:00,02:58:20,0,2,8,9
02:58:20,02:58:40,7,7,2,0
02:58:40,02:59:00,9,9,6,8
02:59:00,02:59:20,0,4,8,4
02:59:20,02:59:40,5,3,0,7
02:59:40,03:00:00,3,4,6,9
03:00:00,03:00:20,3,3,2,1
03:00:20,03:00:40,8,5,6,0
03:00:40,03:01:00,0,2,8,5
03:01:00,03:01:20,1,0,2,1
03:01:20,03:01:40,1,6,3,2
03:01:40,03:02:00,6,2,5,3
03:02:00,03:02:20,1,8,8,3
03:02:20,03:02:40,0,0,2,1
03:02:40,03:03:00,6,8,0,7
03:03:00,03:03:20,0,4,1,6
03:03:20,03:03:40,4,5,2,0
03:03:40,03:04:00,9,8,8,6
03:04:00,03:04:20,5,0,7,6
03:04:20,03:04:40,0,2,0,1
03:04:40,03:05:00,2,0,4,5
03:05:00,03:05:20,5,8,0,5
03:05:20,03:05:40,8,6,1,4
03:05:40,03:06:00,3,5,2,2
03:06:00,03:06:20,2,1,6,7
03:06:20,03:06:40,4,9,7,0
03:06:40,03:07:00,5,8,9,7
03:07:00,03:07:20,6,7,3,7
03:07:20,03:07:40,5,2,2,1
03:07:40,03:08:00,0,3,8,1
03:08:00,03:08:20,5,7,7,2
03:08:20,03:08:40,6,9,1,1
03:08:40,03:09:00,5,6,6,9
03:09:00,03:09:20,3,3,4,4
03:09:20,03:09:40,4,2,0,6
03:09:40,03:10:00,4,1,7,5
03:10:00,03:10:20,8,1,8,3
03:10:20,03:10:40,6,1,6,3
03:10:40,03:11:00,7,9,1,2
03:11:00,03:11:20,9,9,4,0
03:11:20,03:11:40,8,6,5,7
03:11:40,03:12:00,2,2,7,8
03:12:00,03:12:20,0,9,1,4
03:12:20,03:12:40,7,7,8,4
03:12:40,03:13:00,8,2,9,7
03:13:00,03:13:20,0,8,5,8
03:13:20,03:13:40,8,6,5,8
03:13:40,03:14:00,3,1,7,3
03:14:00,03:14:20,8,8,2,9
03:14:20,03:14:40,5,3,2,0
03:14:40,03:15:00,8,4,5,0
03:15:00,03:15:20,6,7,6,1
03:15:20,03:15:40,2,6,2,0
03:15:40,03:16:00,5,2,3,3
03:16:00,03:16:20,2,5,2,0
03:16:20,03:16:40,2,4,4,2
03:16:40,03:17:00,9,7,7,5
03:17:00,03:17:20,3,1,5,9
03:17:20,03:17:40,2,9,4,5
03:17:40,03:18:00,0,0,2,6
03:18:00,03:18:20,2,2,7,2
03:18:20,03:18:40,8,9,9,6
03:18:40,03:19:00,0,5,7,3
03:19:00,03:19:20,1,3,3,5
03:19:20,03:19:40,4,7,7,4
03:19:40,03:20:00,1,4,3,4
03:20:00,03:20:20,2,9,4,7
03:20:20,03:20:40,0,2,4,8
03:20:40,03:21:00,0,8,2,8
03:21:00,03:21:20,8,8,5,1
03:21:20,03:21:40,2,8,0,3
03:21:40,03:22:00,0,8,9,2
03:22:00,03:22:20,0,4,9,8
03:22:20,03:22:40,5,6,2,6
03:22:40,03:23:00,5,5,9,7
03:23:00,03:23:20,2,7,2,5
03:23:20,03:23:40,6,1,5,9
03:23:40,03:24:00,0,9,8,2
03:24:00,03:24:20,6,6,6,1
03:24:20,03:24:40,0,9,2,3
03:24:40,03:25:00,4,6,0,5
03:25:00,03:25:20,3,3,8,7
03:25:20,03:25:40,0,2,2,4
03:25:40,03:26:00,0,1,5,7
03:26:00,03:26:20,9,6,3,3
03:26:20,03:26:40,1,5,8,7
03:26:40,03:27:00,5,4,2,5
03:27:00,03:27:20,0,8,4,9
03:27:20,03:27:40,9,5,7,1
03:27:40,03:28:00,0,8,7,3
03:28:00,03:28:20,7,9,5,6
03:28:20,03:28:40,6,3,5,0
03:28:40,03:29:00,5,7,2,0
03:29:00,03:29:20,0,7,3,7
03:29:20,03:29:40,6,7,0,9
03:29:40,03:30:00,2,8,5,7
03:30:00,03:30:20,9,4,2,2
03:30:20,03:30:40,9,5,0,4
03:30:40,03:31:00,2,2,8,4
03:31:00,03:31:20,5,7,1,1
03:31:20,03:31:40,1,4,0,4
03:31:40,03:32:00,6,9,9,4
03:32:00,03:32:20,8,5,1,4
03:32:20,03:32:40,6,6,7,8
03:32:40,03:33:00,4,3,1,4
03:33:00,03:33:20,5,6,6,7
03:33:20,03:33:40,8,8,0,3
03:33:40,03:34:00,5,8,4,8
03:34:00,03:34:20,0,0,6,3
03:34:20,03:34:40,5,4,7,7
03:34:40,03:35:00,9,9,9,2
03:35:00,03:35:20,2,7,9,4
03:35:20,03:35:40,2,3,5,2
03:35:40,03:36:00,7,0,7,1
03:36:00,03:36:20,2,3,0,2
03:36:20,03:36:40,1,8,6,9
03:36:40,03:37:00,6,2,9,8
03:37:00,03:37:20,6,2,9,6
03:37:20,03:37:40,0,6,5,9
03:37:40,03:38:00,2,3,8,4
03:38:00,03:38:20,8,5,8,6
03:38:20,03:38:40,4,8,8,2
03:38:40,03:39:00,8,7,0,9
03:39:00,03:39:20,4,8,8,4
03:39:20,03:39:40,4,4,7,5
03:39:40,03:40:00,1,4,9,0
03:40:00,03:40:20,5,8,7,3
03:40:20,03:40:40,4,2,0,7
03:40:40,03:41:00,8,6,7,8
03:41:00,03:41:20,1,6,1,8
03:41:20,03:41:40,6,6,2,2
03:41:40,03:42:00,9,0,9,5
03:42:00,03:42:20,3,6,2,6
03:42:20,03:42:40,1,8,5,3
03:42:40,03:43:00,8,8,7,7
03:43:00,03:43:20,0,1,9,5
03:43:20,03:43:40,9,3,2,6
03:43:40,03:44:00,5,9,6,8
03:44:00,03:44:20,0,9,2,5
03:44:20,03:44:40,4,2,2,7
03:44:40,03:45:00,3,0,8,1
03:45:00,03:45:20,4,1,6,2
03:45:20,03:45:40,9,0,2,5
03:45:40,03:46:00,5,5,2,3
03:46:00,03:46:20,4,9,4,6
03:46:20,03:46:40,5,1,8,7
03:46:40,03:47:00,3,5,2,6
03:47:00,03:47:20,2,7,6,4
03:47:20,03:47:40,6,2,9,7
03:47:40,03:48:00,0,7,2,0
03:48:00,03:48:20,1,7,2,6
03:48:20,03:48:40,1,6,5,8
03:48:40,03:49:00,1,4,5,5
03:49:00,03:49:20,2,2,0,7
03:49:20,03:49:40,0,4,3,4
03:49:40,03:50:00,2,1,4,0
03:50:00,03:50:20,8,7,3,8
03:50:20,03:50:40,2,8,7,4
03:50:40,03:51:00,0,9,3,8
03:51:00,03:51:20,9,4,3,3
03:51:20,03:51:40,9,7,4,9
03:51:40,03:52:00,5,5,0,1
03:52:00,03:52:20,1,5,4,2
